0, 4, 5, 1, 2, 3, 5, 4, 2, 3, 2, 4, 5, 1, 1, 4, 1, -1 - -1, False
1, 4, 1, 4, 2, 3, 3, 2, 3, 1, 2, 4, 4, 5, 4, 4, 2, -1 - -1, False
2, 2, 2, 2, 5, 1, 4, 3, 4, 2, 5, 1, 3, 3, 2, 2, 1, -1 - -1, False
3, 5, 5, 3, 2, 4, 1, 2, 2, 2, 3, 3, 1, 3, 4, 3, 2, -1 - -1, False
4, 5, 2, 5, 4, 4, 2, 1, 4, 2, 4, 2, 4, 3, 1, 3, 3, -1 - -1, False
5, 4, 4, 4, 2, 2, 2, 3, 1, 1, 2, 5, 2, 3, 5, 4, 3, -1 - -1, False
6, 3, 5, 3, 1, 5, 4, 5, 2, 5, 2, 5, 2, 3, 4, 5, 5, -1 - -1, False
7, 5, 4, 3, 1, 2, 5, 2, 1, 4, 5, 4, 3, 4, 3, 4, 1, -1 - -1, False
8, 5, 1, 5, 2, 2, 1, 5, 2, 3, 3, 1, 3, 1, 4, 2, 5, -1 - -1, False
9, 1, 5, 1, 3, 5, 5, 3, 2, 3, 1, 5, 2, 2, 1, 4, 1, -1 - -1, False
10, 5, 4, 3, 4, 2, 2, 1, 1, 4, 5, 2, 3, 3, 1, 4, 3, 4 - 7, False
11, 4, 2, 2, 2, 2, 1, 5, 3, 4, 1, 1, 5, 4, 1, 3, 5, 4 - 7, True
12, 5, 4, 5, 4, 2, 2, 2, 1, 2, 5, 2, 3, 4, 1, 4, 1, 4 - 7, False
13, 5, 4, 2, 5, 2, 4, 3, 1, 2, 5, 1, 3, 3, 2, 2, 1, 2 - 7, False
14, 2, 2, 2, 5, 2, 4, 3, 1, 4, 5, 4, 3, 4, 2, 2, 1, 2 - 7, False
15, 2, 4, 2, 1, 2, 4, 2, 1, 4, 5, 4, 3, 4, 3, 2, 1, 2 - 7, False
16, 5, 2, 3, 4, 2, 2, 1, 4, 2, 5, 2, 4, 3, 1, 3, 3, 4 - 10, False
17, 5, 4, 5, 4, 2, 2, 1, 4, 4, 4, 2, 3, 3, 1, 4, 3, 4 - 10, False
18, 5, 2, 3, 4, 2, 2, 1, 4, 2, 5, 2, 4, 3, 1, 3, 3, 4 - 10, False
19, 5, 4, 3, 4, 2, 5, 1, 4, 2, 5, 2, 4, 4, 3, 4, 3, 18 - 7, False
20, 5, 2, 3, 1, 2, 2, 1, 1, 4, 5, 2, 4, 4, 1, 4, 1, 18 - 7, False
21, 5, 4, 3, 4, 2, 5, 2, 1, 4, 5, 4, 3, 3, 1, 3, 1, 18 - 7, False
22, 3, 4, 5, 2, 3, 3, 5, 2, 2, 2, 5, 2, 5, 4, 2, 5, 15 - 18, True
23, 5, 4, 3, 1, 2, 4, 1, 4, 4, 5, 4, 4, 4, 3, 3, 3, 15 - 18, False
24, 5, 4, 3, 4, 2, 2, 2, 4, 4, 5, 2, 3, 4, 3, 2, 3, 15 - 18, False
25, 5, 2, 3, 1, 2, 2, 1, 4, 2, 4, 2, 4, 4, 1, 3, 3, 4 - 23, False
26, 5, 2, 5, 4, 2, 4, 1, 4, 2, 5, 2, 4, 3, 1, 3, 3, 4 - 23, False
27, 5, 3, 1, 3, 3, 4, 2, 5, 4, 2, 2, 1, 4, 3, 5, 4, 4 - 23, True
28, 3, 5, 3, 1, 3, 1, 1, 2, 5, 5, 3, 4, 4, 3, 1, 3, 4 - 26, True
29, 5, 2, 5, 4, 4, 2, 1, 4, 2, 4, 2, 4, 3, 1, 3, 3, 4 - 26, False
30, 5, 2, 5, 4, 4, 4, 1, 4, 2, 4, 2, 4, 3, 1, 3, 3, 4 - 26, False
31, 5, 2, 3, 4, 4, 2, 1, 4, 2, 5, 2, 4, 3, 1, 3, 3, 4 - 18, False
32, 5, 2, 3, 4, 4, 2, 1, 4, 2, 4, 2, 4, 3, 1, 3, 3, 4 - 18, False
33, 5, 2, 5, 4, 2, 2, 1, 4, 2, 4, 2, 4, 3, 1, 3, 3, 4 - 18, False
34, 5, 2, 3, 4, 4, 2, 1, 4, 2, 5, 2, 4, 3, 1, 3, 3, 4 - 16, False
35, 5, 2, 3, 4, 2, 2, 1, 4, 2, 4, 2, 4, 3, 1, 3, 3, 4 - 16, False
36, 5, 2, 3, 4, 4, 2, 1, 4, 2, 4, 2, 4, 3, 1, 3, 3, 4 - 16, False
37, 5, 2, 3, 4, 2, 2, 1, 4, 2, 4, 2, 4, 3, 1, 3, 3, 36 - 18, False
38, 5, 2, 3, 4, 2, 2, 1, 4, 2, 5, 2, 4, 3, 1, 3, 3, 36 - 18, False
39, 5, 2, 3, 4, 4, 2, 1, 4, 2, 4, 2, 4, 3, 1, 3, 3, 36 - 18, False
40, 5, 2, 3, 4, 4, 2, 1, 4, 2, 4, 2, 4, 3, 1, 3, 3, 37 - 39, False
41, 5, 2, 3, 4, 4, 2, 1, 4, 2, 4, 2, 4, 3, 1, 3, 3, 37 - 39, False
42, 4, 1, 3, 3, 1, 1, 2, 5, 1, 4, 1, 4, 4, 3, 2, 4, 37 - 39, True
43, 4, 5, 4, 4, 5, 5, 5, 4, 5, 3, 4, 3, 5, 1, 3, 3, 41 - 34, True
44, 5, 2, 3, 4, 4, 2, 1, 4, 2, 4, 2, 4, 3, 1, 3, 3, 41 - 34, False
45, 5, 2, 3, 4, 4, 2, 1, 4, 2, 5, 2, 4, 3, 1, 3, 3, 41 - 34, False
46, 5, 2, 3, 4, 4, 2, 1, 4, 2, 5, 2, 4, 3, 1, 3, 3, 45 - 40, False
47, 5, 2, 3, 4, 4, 2, 1, 4, 2, 4, 2, 4, 3, 1, 3, 3, 45 - 40, False
48, 5, 2, 3, 4, 4, 2, 1, 4, 2, 4, 2, 4, 3, 1, 3, 3, 45 - 40, False
